ALPICAT VOLEI ASSOCIACIÓ;4358;3ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
ANTON MASSAGUE SPSP;4346;1ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
ASISA SPSP;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
AV L'AMETLLA;4344;1ª DIVISIÓ SÈNIOR MASCULINA;B;Grup: B
AV L'AMETLLA GROC;4356;2ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
AV L'AMETLLA GROC;4363;2ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
AV L'AMETLLA GROC;4367;2ª DIVISIÓ CADET FEMENINA;B;Grup: B
AV L'AMETLLA GROC;4406;2ª DIVISIÓ INFANTIL FEMENINA;E;Grup: E
AV L'AMETLLA VERD;4354;2ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
AV L'AMETLLA VERD;4396;3ª DIVISIÓ JUVENIL FEMENINA;H;Grup: H
AV L'AMETLLA VERD;4397;3ª DIVISIÓ CADET FEMENINA;H;Grup: H
AV L'AMETLLA VERD;4407;2ª DIVISIÓ INFANTIL FEMENINA;F;Grup: F
BALÀFIA VÒLEI - CLAVER;4390;3ª DIVISIÓ JUVENIL FEMENINA;E;Grup: E
BALÀFIA VÒLEI - CLAVER;4391;3ª DIVISIÓ CADET FEMENINA;E;Grup: E
BARÇA CVB;4354;2ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
BARÇA CVB;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
BARÇA CVB;4351;1ª DIVISIÓ CADET FEMENINA;B;Grup: B
BARÇA CVB;4348;1ª DIVISIÓ INFANTIL FEMENINA;A;Grup: A
BARÇA CVB BLAU;4361;2ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
BARÇA CVB BLAU;4362;2ª DIVISIÓ CADET FEMENINA;A;Grup: A
BARÇA CVB BLAU;4412;2ª DIVISIÓ INFANTIL FEMENINA;K;Grup: K
BARÇA CVB GRANA;4368;2ª DIVISIÓ JUVENIL FEMENINA;C;Grup: C
BARÇA CVB GRANA;4411;2ª DIVISIÓ INFANTIL FEMENINA;J;Grup: J
BARÇA CVB PRO;4416;LLIGA PREFERENT CADET FEMENINA;C;Grup: C
BARÇA CVB U13 BLAU;4402;2ª DIVISIÓ INFANTIL FEMENINA;A;Grup: A
BARÇA CVB U13 GRANA;4403;2ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
BARÇA CVB U13 PRO;4404;2ª DIVISIÓ INFANTIL FEMENINA;C;Grup: C
BARÇA CVB U15 GRANA;4369;2ª DIVISIÓ CADET FEMENINA;C;Grup: C
BARÇA VOLEIBOL;4421;1ª DIVISIÓ JUVENIL MASCULINA;A;Grup: A
BARÇA VOLEIBOL;4425;1ª DIVISIÓ CADET MASCULINA;A;Grup: A
BARÇA VOLEIBOL;4428;1ª DIVISIÓ INFANTIL MASCULINA;A;Grup: A
BIOAIRE BALÀFIA VÒLEI LLEIDA;4428;1ª DIVISIÓ INFANTIL MASCULINA;A;Grup: A
C.V. AA LLARS MUNDET 'B';4375;2ª DIVISIÓ SÈNIOR MASCULINA;D;Grup: D
C.V. AA LLARS MUNDET 'B';4359;3ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
C.V. MURS MONTJUÏC;4400;3ª DIVISIÓ JUVENIL FEMENINA;J;Grup: J
C.V. MURS MONTJUÏC;4401;3ª DIVISIÓ CADET FEMENINA;J;Grup: J
CE ESCOLA SANT GERVASI;4375;2ª DIVISIÓ SÈNIOR MASCULINA;D;Grup: D
CE ESCOLA SANT GERVASI;4396;3ª DIVISIÓ JUVENIL FEMENINA;H;Grup: H
CE ESCOLA SANT GERVASI;4397;3ª DIVISIÓ CADET FEMENINA;H;Grup: H
CE ESCOLA SANT GERVASI;4414;LLIGA PREFERENT CADET FEMENINA;A;Grup: A
CE HORTONS;4412;2ª DIVISIÓ INFANTIL FEMENINA;K;Grup: K
CECELL LLEIDA;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CECELL LLEIDA;4351;1ª DIVISIÓ CADET FEMENINA;B;Grup: B
CECELL LLEIDA;4352;1ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CECELL LLEIDA B;4361;2ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
CECELL LLEIDA B;4362;2ª DIVISIÓ CADET FEMENINA;A;Grup: A
CECELL LLEIDA 'B';4405;2ª DIVISIÓ INFANTIL FEMENINA;D;Grup: D
CECELL LLEIDA 'C';4390;3ª DIVISIÓ JUVENIL FEMENINA;E;Grup: E
CECELL LLEIDA 'C';4391;3ª DIVISIÓ CADET FEMENINA;E;Grup: E
CEV L'HOSPITALET;4343;1ª DIVISIÓ SÈNIOR MASCULINA;A;Grup: A
CEV L'HOSPITALET;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CEV L'HOSPITALET;4351;1ª DIVISIÓ CADET FEMENINA;B;Grup: B
